topic,ai_known_title,ai_known_channel,status
Backpropagation in Neural Networks,Neural Networks Pt. 2: Backpropagation Main Ideas,StatQuest with Josh Starmer,DONE
Convolutional Neural Networks (CNNs),Neural Networks Part 8: Image Classification with Convolutional Neural Networks (CNNs),StatQuest with Josh Starmer,DONE
LSTMs and Recurrent Neural Networks,"Long Short-Term Memory (LSTM), Clearly Explained",StatQuest with Josh Starmer,DONE
The Attention Mechanism and Transformers,"Attention for Neural Networks, Clearly Explained!!!",StatQuest with Josh Starmer,DONE
Q-Learning (Reinforcement Learning),Reinforcement Learning: Essential Concepts,StatQuest with Josh Starmer,DONE
Support Vector Machines (SVMs),Support Vector Machines Part 1 (of 3): Main Ideas!!!,StatQuest with Josh Starmer,DONE
RSA Encryption,Prime Numbers & RSA Encryption Algorithm - Computerphile,Computerphile,DONE
Diffie-Hellman Key Exchange,Secret Key Exchange (Diffie-Hellman) - Computerphile,Computerphile,DONE
SHA-256 Hashing Algorithm,SHA: Secure Hashing Algorithm - Computerphile,Computerphile,DONE
Elliptic Curve Cryptography,Elliptic Curves - Computerphile,Computerphile,DONE
Zero-Knowledge Proofs,Zero Knowledge Proofs - Computerphile,Computerphile,DONE
Branch Prediction,How Branch Prediction Works in CPUs - Computerphile,Computerphile,DONE
Tomasulo's Algorithm,Tomasulo's Algorithm example| lec 54| Advanced computer architecture| BhanuPriya,AllAboutCSIT,DONE
Cache Coherence MESI Protocol,MESI Cache Coherence Protocol | Vasileios Trigonakis,"Wandida, EPFL",DONE
Lexical Analysis and Tokenization,Introduction to Compiler Design,Neso Academy,DONE
Syntax Analysis and LL(1) Parsing,LL(1) Parsing,Neso Academy,DONE
LR and LALR Parsers,Introduction to Compiler Design,Neso Academy,DONE
Generative Adversarial Networks (GANs),What are GANs (Generative Adversarial Networks)?,IBM Technology,DONE
Diffusion Models,Diffusion Models for AI Image Generation,IBM Technology,DONE
Hidden Markov Models (HMMs),Hidden Markov Model : Data Science Concepts,ritvikmath,DONE
Markov Decision Processes (MDPs),Markov Decision Processes - Georgia Tech - Machine Learning,Udacity,DONE
The TLS/SSL Handshake,The TLS Handshake Explained with Example (the Math),Hussein Nasser,DONE
OAuth 2.0 and OpenID Connect,OAuth 2.0 explained with examples,ByteMonk,DONE
JSON Web Tokens (JWT),JWT - JSON Web Token Crash Course (NodeJS & Postgres),Hussein Nasser,DONE
Cross-Site Scripting (XSS),Cracking Websites with Cross Site Scripting - Computerphile,Computerphile,DONE
SQL Injection,Running an SQL Injection Attack - Computerphile,Computerphile,DONE
Public Key Infrastructure (PKI),Tech Talk: What is Public Key Infrastructure (PKI)?,IBM Technology,DONE
Docker Internals (cgroups and namespaces),Spin up a lightweight Nodejs docker container running your application,Hussein Nasser,DONE
Kubernetes Architecture,Kubernetes Architecture explained | Kubernetes Tutorial 15,TechWorld with Nana,DONE
CI/CD Pipelines,GitHub Actions Tutorial - Basic Concepts and CI/CD Pipeline with Docker,TechWorld with Nana,DONE
Reverse Proxies vs Load Balancers,Load Balancer vs Reverse Proxy (Explained by Example),Hussein Nasser,DONE
gRPC Protocol,"gRPC Crash Course - Modes, Examples, Pros & Cons and more",Hussein Nasser,DONE
WebSockets,"WebSockets Crash Course - Handshake, Use-cases, Pros & Cons and more",Hussein Nasser,DONE
Resultant of Force Systems,"Statics: Lesson 1 - Intro and Newton’s Laws, Scalers, and Vectors",Jeff Hanson,DONE
Moments and Cross Products,Statics: How to Use This Course Successfully Plus Book!,Jeff Hanson,DONE
Free Body Diagrams,Statics: How to Use This Course Successfully Plus Book!,Jeff Hanson,DONE
Trusses: Method of Joints,"Statics: Lesson 48 - Trusses, Method of Joints",Jeff Hanson,DONE
Trusses: Method of Sections,"Statics: Lesson 49 - Trusses, The Method of Sections",Jeff Hanson,DONE
Centroids and Center of Gravity,Statics Lesson 37 - Finding the Center of Gravity & Centroids,Jeff Hanson,DONE
Area Moment of Inertia,Statics: Lesson 67 - Introduction to Area Moment of Inertia,Jeff Hanson,DONE
Parallel Axis Theorem,"Statics: Lesson 68 - Parallel Axis Theorem, Area Moment of Inertia",Jeff Hanson,DONE
Dry Friction,"Statics: Lesson 62 - Friction is Fun, Box on an Incline",Jeff Hanson,DONE
Rectilinear and Curvilinear Kinematics,Dynamics - Lesson 9: Curvilinear Motion Acceleration Components,Jeff Hanson,DONE
Principle of Impulse and Momentum,Dynamics: Lesson 26 - Impulse and Momentum Collision Examples,Jeff Hanson,DONE
Rigid Body Kinematics,Dynamics: Lesson 28 - Introduction to Relative Motion Analysis,Jeff Hanson,DONE
Instantaneous Center of Zero Velocity,Dynamics: Lesson 30- Intro to Instantaneous Centers with Relative Motion,Jeff Hanson,DONE
Normal and Shear Stress,"Mechanics of Materials: Lesson 2 - Normal Stress, Review of Units",Jeff Hanson,DONE
Stress-Strain Diagrams,"Mechanics of Materials: Lesson 9 - Stress Strain Diagram, Guaranteed for Exam 1!",Jeff Hanson,DONE
Hooke's Law and Poisson's Ratio,Mechanics of Materials: Lesson 7 - Intro to Strain and Poisson’s Ratio,Jeff Hanson,DONE
Torsion of Circular Shafts,"Mechanics of Materials: Lesson 23 - Shear Stress Due to Torsion, Polar Moment of Inertia",Jeff Hanson,DONE
Shear Force and Bending Moment Diagrams,"Statics: Lesson 59 - Shear Moment Diagram, The Graphic Method",Jeff Hanson,DONE
Bending Stresses in Beams,"Mechanics of Materials: Lesson 31 - The Flexure Formula, Beam Bending Example",Jeff Hanson,DONE
Transverse Shear Stress,Mechanics of Materials: Lesson 36 - What is Transverse Shear? Explained,Jeff Hanson,DONE
Mohr's Circle (Plane Stress),Mechanics of Materials: Lesson 50 - Mohr’s Circle for Stress Transformation,Jeff Hanson,DONE
Failure Theories (Von Mises and Tresca),"Understanding Failure Theories (Tresca, von Mises etc...)",The Efficient Engineer,DONE
Column Buckling (Euler's Formula),Mechanics of Materials: Lesson 66 - Intro to Column Buckling,Jeff Hanson,DONE
The First Law of Thermodynamics,"Mechanical Engineering Thermodynamics - Lec 1, pt 1 of 5:  Introduction",Ron Hugo,DONE
The Second Law and Entropy,"Mechanical Engineering Thermodynamics - Lec 1, pt 1 of 5:  Introduction",Ron Hugo,DONE
Isentropic Processes,"Mechanical Engineering Thermodynamics - Lec 1, pt 1 of 5:  Introduction",Ron Hugo,DONE
The Otto Cycle (Internal Combustion),"Mechanical Engineering Thermodynamics - Lec 1, pt 1 of 5:  Introduction",Ron Hugo,DONE
The Diesel Cycle,"Mechanical Engineering Thermodynamics - Lec 16, pt 3 of 6: Ideal Diesel Cycle",Ron Hugo,DONE
The Rankine Cycle (Steam Power Plants),"Mechanical Engineering Thermodynamics - Lec 20, pt 1 of 7:  Actual Rankine Cycle",Ron Hugo,DONE
The Brayton Cycle (Gas Turbines),"Mechanical Engineering Thermodynamics - Lec 17, pt 1 of 5: Brayton Cycle Introduction",Ron Hugo,DONE
Refrigeration Cycles,"Mechanical Engineering Thermodynamics - Lec 1, pt 1 of 5:  Introduction",Ron Hugo,DONE
Exergy and Reversible Work,"Mechanical Engineering Thermodynamics - Lec 11, pt 1 of 5:  Exergy - Introduction",Ron Hugo,DONE
Fluid Statics and Manometry,"Fluid Mechanics: Fundamental Concepts, Fluid Properties (1 of 34)",CPPMechEngTutorials,DONE
Buoyancy and Archimedes Principle,"Fluid Mechanics: Fundamental Concepts, Fluid Properties (1 of 34)",CPPMechEngTutorials,DONE
Conservation of Mass (Continuity Equation),Fluid Mechanics: Topic 11.1 - The continuity equation,CPPMechEngTutorials,DONE
Bernoulli's Equation,Fluid Mechanics: Buoyancy & the Bernoulli Equation (5 of 34),CPPMechEngTutorials,DONE
The Momentum Equation in Fluids,Fluid Mechanics: Topic 7.2 - Conservation of linear momentum for a control volume,CPPMechEngTutorials,DONE
Navier-Stokes Equations,"Fluid Mechanics: Navier-Stokes Equations, Conservation of Energy Examples (15 of 34)",CPPMechEngTutorials,DONE
Reynolds Number (Laminar vs Turbulent Flow),"Fluid Mechanics: Viscous Flow in Pipes, Laminar Pipe Flow Characteristics (16 of 34)",CPPMechEngTutorials,DONE
Boundary Layer Theory,Fluid Mechanics: Laminar Boundary Layer on a Flat Plate (31 of 34),CPPMechEngTutorials,DONE
Lift and Drag Forces,Drag And Lift || Hindi || Drag and Lift kya hota hai || Drag and Lift in hindi,Gear Institute Mechanical Engineering Videos,DONE
Fourier's Law of Heat Conduction,"Heat Transfer (01): Introduction to heat transfer, conduction, convection, and radiation",CPPMechEngTutorials,DONE
Thermal Resistance Networks,"Heat Transfer (01): Introduction to heat transfer, conduction, convection, and radiation",CPPMechEngTutorials,DONE
Transient Heat Conduction (Lumped Capacitance),"Heat Transfer (13): Transient heat conduction, lumped heat capacity model and examples",CPPMechEngTutorials,DONE
Forced Convection vs Natural Convection,"Heat Transfer (01): Introduction to heat transfer, conduction, convection, and radiation",CPPMechEngTutorials,DONE
Thermal Radiation (Stefan-Boltzmann Law),"Heat Transfer (01): Introduction to heat transfer, conduction, convection, and radiation",CPPMechEngTutorials,DONE
Heat Exchangers (LMTD Method),LMTD for Parallel Flow Heat Exchanger | Heat Transfer #engineering #gateexam #gateexam2027,Impact Academy Official,DONE
Effectiveness-NTU Method,Lecture 43 - NTU Effectiveness Method Concept,Sampurna Engineering,DONE
Iron-Carbon Phase Diagram,"Material Science, The Iron Carbon Phase Diagram, Part 1",Welt der Werkstoffe,DONE
Heat Treatment of Steel (Quenching/Tempering),"Material Science, Heat Treatment of Steel, Part 1",Welt der Werkstoffe,DONE
Gear Trains and Gear Ratios,Gear train // Numerical Problem: 01 // Compound gear train,Mech PM,DONE
Design of Coil Springs,Helical Springs Numerical 1,Topper Mechanical,DONE
Ball and Roller Bearings Design,Machine Design - Rolling Contact Bearings Question 15.1 Unsolved Problem (V B Bhandari),E Learning with Kunal,DONE
Geometric Dimensioning and Tolerancing (GD&T),Understanding GD&T,The Efficient Engineer,DONE
Free Undamped Vibrations,Lecture 1 - Introduction to Mechanical Vibrations - Module 1 - Mechanical Vibrations by GURUDATT.H.M,Mechanical Engineering E-Learning,DONE
Damped Free Vibrations,Lecture 1 - Introduction to Mechanical Vibrations - Module 1 - Mechanical Vibrations by GURUDATT.H.M,Mechanical Engineering E-Learning,DONE
Introduction to Finite Element Analysis (FEA),Mod-01 Lec-01 Introduction to Finite Element Method,nptelhrd,DONE
Stiffness Matrices in FEA,FEA 15:  Beam/Frame Element Stiffness Matrices,Schuster Engineering,DONE
Compressible Flow and Normal Shock Waves,Normal Shock - Compressible Fluid Flow - Fluid Mechanics 1,Ekeeda,DONE
Velocity Triangles in Turbomachinery,velocity triangles for turbines | hydraulic machine fm | all ae&je exam/fluid mechanics by rahul sir,Make It Easy: Best Platform for Mechanical,DONE
Exact Solutions of Navier-Stokes Equations,Mod-01 Lec-01 Introduction and Fundamental Concepts - I,nptelhrd,DONE
Boundary Layer Momentum Integral Equation,Mod-01 Lec-01 Introduction and Fundamental Concepts - I,nptelhrd,DONE
Compressible Fluid Flow and Mach Waves,Mod-01 Lec-01 Introduction to Fluid Machines 1,nptelhrd,DONE
Convective Heat Transfer Mathematics,Mod-01 Lec-01 Introduction to convective heat transfer - Part 1,nptelhrd,DONE
Microfluidics and Capillarity,Mod-01 Lec-01 Introduction to Microfluidics,nptelhrd,DONE
Exergy and Second Law Efficiency,Lec-1 Introduction and Fundamental Concepts,nptelhrd,DONE
Thermodynamics of Reactive Systems,Lec-1 Introduction and Fundamental Concepts,nptelhrd,DONE
Phase Change Heat Transfer (Boiling and Condensation),Lecture - 29 Boiling and Condensation - 1,nptelhrd,DONE
Theory of Elasticity and Stress Tensors,Theory of Elasticity by Prof  Amit Shaw and Prof  Biswanath Banerjee,NPTEL IIT Kharagpur,DONE
Yield Criteria and Plasticity,Lecture 33: Yield Criteria,IIT KANPUR-NPTEL,DONE
Fracture Mechanics and Stress Intensity Factor,Mod-01 Lec-01 EFM Course Outline,nptelhrd,DONE
Finite Element Method (1D and 2D Elements),Mod-01 Lec-01 Introduction to Finite Element Method,nptelhrd,DONE
Isoparametric Elements in FEA,Mod-01 Lec-01 Introduction to Finite Element Method,nptelhrd,DONE
Multi-Degree of Freedom Vibrations,Mod-01 Lec-25 Free Vibration for Multi Degree of Freedom Structures,nptelhrd,DONE
Continuous Systems Vibrations,Vibration of Continuous Systems [Intro Video],NPTEL IIT Guwahati,DONE
Rotor Dynamics and Critical Speeds,Mod-01 Lec-01 Introduction,nptelhrd,DONE
Advanced Machining Processes (EDM ECM),Mod-01 Lec-01 Advanced Machining Processes,nptelhrd,DONE
Mechanics of Machining (Merchant's Circle),Lecture - 8 Machining Forces,nptelhrd,DONE
Metal Forming and Yielding,Introduction to Metal Forming Technology,IIT Roorkee July 2018,DONE
Hydrodynamic Journal Bearings,Hydrodynamic Journal Bearings,nptelhrd,DONE
Elastohydrodynamic Lubrication,Introduction,nptelhrd,DONE
Poisson Distribution,The Main Ideas behind Probability Distributions,StatQuest with Josh Starmer,DONE
Gamma Distribution,An Introduction to Continuous Probability Distributions,jbstatistics,DONE
Beta Distribution,An Introduction to Discrete Random Variables and Discrete Probability Distributions,jbstatistics,DONE
Joint Probability Distributions,An Introduction to Discrete Random Variables and Discrete Probability Distributions,jbstatistics,DONE
Covariance and Correlation,"Covariance, Clearly Explained!!!",StatQuest with Josh Starmer,DONE
Maximum Likelihood Estimation (MLE),"Maximum Likelihood, clearly explained!!!",StatQuest with Josh Starmer,DONE
Method of Moments Estimation,The Method of Moments ... Made Easy!,Stats with Brian,DONE
Hypothesis Testing and p-values,p-values: What they are and how to interpret them,StatQuest with Josh Starmer,DONE
Statistical Power and Type I/II Errors,"Statistical Power, Clearly Explained!!!",StatQuest with Josh Starmer,DONE
Confidence Intervals,"Confidence Intervals, Clearly Explained!!!",StatQuest with Josh Starmer,DONE
Cramer-Rao Lower Bound,"Cramér-Rao Lower Bound: Full Explanation, Statement & Step-by-Step Proof",Morning Statistics,DONE
Neyman-Pearson Lemma,Neyman-Pearson Lemma | Easiest Proof,Dr. Harish Garg,DONE
Likelihood Ratio Tests,Likelihood Ratio Tests Clearly Explained,Stats with Brian,DONE
Ordinary Least Squares (OLS) Derivation,The Main Ideas of Fitting a Line to Data (The Main Ideas of Least Squares and Linear Regression.),StatQuest with Josh Starmer,DONE
Multiple Linear Regression,"Multiple Regression, Clearly Explained!!!",StatQuest with Josh Starmer,DONE
Multicollinearity,Multicollinearity (in Regression Analysis),numiqo,DONE
One-Way ANOVA,One-Way ANOVA [Analysis of Variance] simply explained,numiqo,DONE
Logistic Regression,StatQuest: Logistic Regression,StatQuest with Josh Starmer,DONE
Generalized Linear Models (GLMs),The Essence of Linear Regression!!!,StatQuest with Josh Starmer,DONE
Wilcoxon Signed-Rank Test,"Non-parametric tests - Sign test, Wilcoxon signed rank, Mann-Whitney",zedstatistics,DONE
Kruskal-Wallis Test,Kruskal-Wallis-Test (Simply explained),numiqo,DONE
Autoregressive (AR) Models,What are Autoregressive (AR) Models,Aric LaBarr,DONE
Moving Average (MA) Models,Time Series Talk : Moving Average Model,ritvikmath,DONE
ARIMA Models,Time Series Talk : ARIMA Model,ritvikmath,DONE
Dickey-Fuller Test,Dickey Fuller test for unit root,Ben Lambert,DONE
Bayesian vs Frequentist Statistics,Bayesian vs. Frequentist Statistics ... MADE EASY!!!,Stats with Brian,DONE
Conjugate Priors,Conjugate prior for a Binomial likelihood,deetoher,DONE
Markov Chain Monte Carlo (MCMC),Markov Chain Monte Carlo (MCMC) : Data Science Concepts,ritvikmath,DONE
Metropolis-Hastings Algorithm,(ML 18.7) Metropolis algorithm for MCMC,mathematicalmonk,DONE
Gibbs Sampling,Gibbs Sampling : Data Science Concepts,ritvikmath,DONE
Randomized Block Design,Introducing ANOVA for RBD Experiments,Dane McGuckian (STATSprofessor),DONE
Factorial Design of Experiments,Part 12: Factorial Design | 2^2 & 2^3 Factorial Design - Complete Details | Research Methodology,Dr. Puspendra Classes,DONE
Principal Component Analysis (PCA),"StatQuest: Principal Component Analysis (PCA), Step-by-Step",StatQuest with Josh Starmer,DONE
Factor Analysis,StatQuest: PCA main ideas in only 5 minutes!!!,StatQuest with Josh Starmer,DONE
Degree of Freedom Analysis,Multiple Unit Material Balance: Degree of Freedom Analysis,LearnChemE,DONE
Material Balances on Reactive Systems,Solving Material Balances on Multiple Units,LearnChemE,DONE
Heat of Reaction and Formation,Heat of Reaction (from Heat of Formation),LearnChemE,DONE
Psychrometric Charts,How to Use a Psychrometric (Humidity) Chart,LearnChemE,DONE
Raoult's Law and Henry's Law,Boiling Point Elevation/Raoult's Law,LearnChemE,DONE
Equations of State (Peng-Robinson SRK),Roots of Peng-Robinson Equation of State,LearnChemE,DONE
Fugacity and Fugacity Coefficients,What is Fugacity?,LearnChemE,DONE
Activity Models (Margules Van Laar),What is an Activity Coefficient?,LearnChemE,DONE
Chemical Equilibrium Constant (Kp),Equilibrium Constant Introduction,LearnChemE,DONE
Gibbs Free Energy of Reaction,"Signs of Gibbs Energy, Enthalpy, and Entropy",LearnChemE,DONE
Maxwell Relations,Maxwell Relations,LearnChemE,DONE
Filtration (Constant Pressure and Rate),Lec 25: Constant Pressure Filtration (Formulation of problem/Derivation/Example),"Dr. Surendra Sasikumar Jampa (PhD,Chem Engg, IITB)",DONE
Heat Exchangers (Shell and Tube Design),Shell and Tube Heat Exchanger,LearnChemE,DONE
Convective Mass Transfer Coefficients,Introduction | L:1 | Mass Transfer Operation | GATE2022 (Chemical Engineering) | Manish Sir,Unacademy GATE - Chemical ,DONE
Distillation: McCabe-Thiele Method,McCabe-Thiele Graphical Method Example Part 1,LearnChemE,DONE
Distillation: Ponchon-Savarit Method,Lec 36: The Ponchon-Savarit method - I,NPTEL IIT Guwahati,DONE
Gas Absorption and Stripping,Introduction to Absorption Columns,LearnChemE,DONE
Liquid-Liquid Extraction,Single-Stage Extraction Calculations,LearnChemE,DONE
Solid-Liquid Extraction (Leaching),Leaching Part 1 What is Leaching?,AKB Academy of Chemical Engineeing,DONE
Adsorption Isotherms (Langmuir Freundlich),Langmuir Isotherm Introduction,LearnChemE,DONE
Cooling Towers,Heat Transfer Basics,LearnChemE,DONE
Membrane Separation Processes,Membrane Separation Introduction,LearnChemE,DONE
Reaction Kinetics and Rate Laws,Introduction to Chemical Reactor Design,LearnChemE,DONE
Plug Flow Reactor (PFR),Plug Flow Reactor Overview,LearnChemE,DONE
Reactors in Series and Parallel,Reactor Sequence: CSTR and PFR,LearnChemE,DONE
Selectivity and Yield in Multiple Reactions,Multiple Reactions in PBR Part 1,LearnChemE,DONE
Catalysis and Langmuir-Hinshelwood Kinetics,Langmuir-Hinshelwood Kinetics,LearnChemE,DONE
Residence Time Distribution (RTD),Analyzing Tracer Data for a Tank,LearnChemE,DONE
Non-Ideal Reactor Dispersion Model,Mod-01 Lec-37 Non-ideal Reactors: Dispersion model,nptelhrd,DONE
First-Order and Second-Order Systems,Approximating Higher-Order Transfer Functions as FOPDTs,LearnChemE,DONE
Laplace Transforms in Process Control,Laplace Transforms: Differential Equations,LearnChemE,DONE
Transfer Functions of Chemical Processes,Laplace Transforms: Differential Equations,LearnChemE,DONE
PID Controller Tuning (Ziegler-Nichols),PID Controller: Ziegler-Nichols Tuning Parameters,LearnChemE,DONE
Root Locus Analysis in Control,Laplace Transforms: Differential Equations,LearnChemE,DONE
Bode Plots and Frequency Response,Frequency Response An Introduction to Filters,ENGRTUTOR,DONE
Feedforward and Cascade Control,Introduction to Cascade Control,LearnChemE,DONE
Routh-Hurwitz Stability Criterion,Routh-Hurwitz Criteria,Neso Academy,DONE
Airfoil Nomenclature and Aerodynamic Forces,Lecture 01: Introduction on Aerodynamics-its relevance and applications,NPTEL IIT Kharagpur,DONE
Kutta-Joukowski Theorem (Lift Generation),Kutta Joukowski Theorem,Aerokar ,DONE
Thin Airfoil Theory,Mod-01 Lec-30 Lecture-30-Critical Mach Number and Thin Airfoil Theory,nptelhrd,DONE
Prandtl's Lifting-Line Theory,Lifting line theory [Aerodynamics #16],Prof. Van Buren,DONE
Oblique Shock Waves,Mod-01 Lec-01 Introduction,nptelhrd,DONE
Prandtl-Meyer Expansion Fans,Mod-01 Lec-01 Lecture-01-Introduction to Gas Dynamics & Review of Basic Thermodynamics,nptelhrd,DONE
Swept Wing Aerodynamics,"Mod-07 Lec-19 Roll stability, Wing sweep effect, Rudder",nptelhrd,DONE
Boundary Layer Separation on Airfoils,Mod-01 Lec-37 Boundary Layer Theory,nptelhrd,DONE
Aircraft Equations of Motion,"Mod-01 Lec-01 Earth Atmosphere,Aircraft components,Aircraft nomenclature",nptelhrd,DONE
Breguet Range and Endurance Equations,"Mod-01 Lec-01 Earth Atmosphere,Aircraft components,Aircraft nomenclature",nptelhrd,DONE
V-n Diagram (Flight Envelope),Lecture 82 : Tutorial on V-n Diagram of Transport Aircraft,NPTEL IIT Bombay,DONE
Static Longitudinal Stability,"Mod-01 Lec-01 Earth Atmosphere,Aircraft components,Aircraft nomenclature",nptelhrd,DONE
The Neutral Point and Static Margin,Mod-04 Lec-11 Power effects on neutral point,nptelhrd,DONE
Phugoid and Short-Period Modes (Dynamic Stability),"Mod-01 Lec-01 Earth Atmosphere,Aircraft components,Aircraft nomenclature",nptelhrd,DONE
The Thrust Equation,Mod-01 Lec-01 Introduction & Development of Jet Aircraft Propulsion,nptelhrd,DONE
Propeller Momentum Theory,Mod-01 Lec-29 Propeller aerodynamic theories –I,nptelhrd,DONE
Turbojet Engine Thermodynamics,Mod-01 Lec-01 Introduction & Development of Jet Aircraft Propulsion,nptelhrd,DONE
Turbofan Engines and Bypass Ratios,Mod-01 Lec-01 Introduction & Development of Jet Aircraft Propulsion,nptelhrd,DONE
The Ideal Rocket Equation (Tsiolkovsky),Mod-01 Lec-01 Introduction,nptelhrd,DONE
Solid vs Liquid Rocket Propellants,Mod-01 Lec-01 Introduction,nptelhrd,DONE
Convergent-Divergent (De Laval) Nozzle Flow,Mod-01 Lec-01 Lecture 01,nptelhrd,DONE
Six Classical Orbital Elements,Classical/Keplerian Orbital Elements,Spaceflight Science,DONE
Orbital Plane Changes (Inclination Change),The Only Video Needed to Understand Orbital Mechanics,Animations Xplaned,DONE
Lambert's Problem,4 - 1 - Gauss's Method,Dmitry Savransky,DONE
Lagrange Points and Stability,15. Introduction to Lagrange With Examples,MIT OpenCourseWare,DONE
Bending of Asymmetrical Beam Sections,Unsymmetrical bending part 1,Pradeep Mouria,DONE
Shear Flow in Thin-Walled Structures,UNSW - Aerospace Structures - Solid Mechanics,Aerospace Structures @ UNSW,DONE
Torsion of Multi-Cell Sections,Lecture - 18 Torsion - I,nptelhrd,DONE
